tick,ALPHA,GAMMA,THETA,RITM
477,153.77,77.59,31.13,4563.44
476,153.61,77.55,30.59,4555.61
475,152.66,76.82,30.49,4550.86
474,152.32,76.2,30.44,4546.18
473,152.4,76.76,30.8,4555.96
472,152.95,74.19,30.08,4540.15
471,152.86,76.91,31.0,4561.5
470,152.97,76.52,30.83,4559.58
469,153.26,77.42,31.37,4568.34
468,152.89,78.72,31.79,4576.95
467,152.65,79.53,31.97,4578.33
466,152.74,80.78,32.5,4591.07
465,152.77,80.5,32.43,4587.41
464,152.94,81.66,32.47,4591.76
463,152.77,81.61,32.58,4591.87
462,152.61,82.83,33.09,4601.89
461,152.15,83.82,33.39,4611.36
460,152.46,82.73,32.68,4598.17
459,152.81,82.12,32.25,4591.47
458,153.01,82.43,32.25,4593.28
457,152.47,84.08,32.96,4602.05
456,152.43,84.15,33.03,4603.55
455,153.45,84.92,33.12,4607.63
454,154.32,83.47,32.79,4600.68
453,153.99,84.04,33.02,4605.57
452,153.41,86.0,33.67,4618.03
451,153.76,85.67,33.47,4617.31
450,153.79,85.17,33.78,4623.04
449,153.0,84.62,33.91,4622.33
448,152.97,84.41,34.0,4621.34
447,152.64,85.16,34.2,4625.66
446,151.91,84.7,33.67,4618.63
445,151.97,84.06,33.68,4619.83
444,152.08,86.09,34.29,4630.63
443,152.43,85.31,34.24,4627.44
442,152.78,84.06,33.63,4614.66
441,152.68,86.3,34.58,4631.06
440,152.0,87.33,35.23,4641.57
439,151.64,86.17,34.61,4629.54
438,151.98,86.25,34.56,4626.03
437,151.6,87.09,34.94,4630.13
436,151.89,85.63,34.77,4625.22
435,152.32,85.3,34.8,4621.51
434,152.73,83.57,34.2,4609.01
433,152.09,84.27,34.72,4619.04
432,152.78,84.72,34.79,4618.69
431,152.98,84.33,34.66,4616.12
430,153.48,83.24,34.26,4608.31
429,152.99,81.69,33.96,4600.29
428,152.98,80.96,33.82,4595.03
427,152.73,81.2,33.98,4599.81
426,152.81,80.91,33.75,4595.72
425,153.67,79.34,33.41,4584.36
424,153.94,78.34,32.84,4575.76
423,154.39,79.0,33.29,4580.33
422,154.39,78.98,33.28,4578.74
421,155.28,78.59,32.96,4570.41
420,154.99,80.91,33.99,4594.51
419,154.36,80.5,33.7,4585.78
418,153.41,81.12,34.13,4591.76
