tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position,ALPHA - Beta,GAMMA - Beta,THETA - Beta
570.0,198.02,60.92,28.64,ALPHA,THETA,False,True,True,0.7363552105404727,0.005818145525427201,-0.6828041596111948
520.0,190.95,62.0,29.19,ALPHA,THETA,False,True,True,-0.13829712093778967,-0.2504588793269471,-0.052750009003751624
478.0,194.49,61.43,28.7,ALPHA,THETA,False,True,True,-0.14982828979181328,-0.39204025246667135,0.119162783051636
427.0,195.1,69.12,29.79,ALPHA,THETA,False,True,True,-0.3886689893176567,-0.06051210434782436,-0.2591149734320208
381.0,194.42,65.03,29.3,ALPHA,THETA,True,False,True,0.09888745715049456,0.2397704410750384,0.45139442517453804
320.0,190.74,59.84,28.3,ALPHA,THETA,True,False,True,-0.12612765789705857,0.10786511987660137,-0.1783030783159991
278.0,190.17,65.45,27.61,ALPHA,THETA,False,True,True,0.44384233145802193,0.2392535427036931,0.17646514939404803
229.0,191.09,64.13,26.55,ALPHA,THETA,False,True,True,-0.16177000080687204,0.642623213226705,-0.61987056778273
178.0,183.79,65.63,28.41,ALPHA,THETA,True,False,True,0.05162163050221547,1.27110254007568,-0.21152175124706818
119.0,167.59,64.1,27.95,ALPHA,THETA,False,True,True,-0.18508015136301734,-0.09534093547122378,-0.0688634134052347
69.0,165.91,61.52,28.45,ALPHA,THETA,True,False,True,0.05090115681951415,0.11669574107469212,-0.2389997379988927
42.0,164.49,60.21,29.0,ALPHA,THETA,False,True,True,0.23554190160736976,-0.507139639728924,0.48799646433150135
582.0,135.6,64.91,16.53,ALPHA,THETA,False,True,True,-0.16364004018965775,0.526696008689333,-0.3037976129691999
529.0,136.69,62.74,18.02,ALPHA,THETA,True,False,True,0.2293751143152351,-0.23999398612061437,-0.4331218359737581
476.0,121.62,60.37,16.99,ALPHA,THETA,False,True,True,0.2418710626793564,-0.14310112279974785,0.3028505768852914
429.0,120.58,62.88,16.29,ALPHA,THETA,True,False,True,-0.18328662503769244,-0.08442213888616111,0.6076386365697566
376.0,125.72,60.81,18.04,ALPHA,THETA,False,True,True,0.38875690805341795,-0.08848568187408003,-0.8448985941857619
332.0,130.74,60.8,18.63,ALPHA,THETA,False,True,True,0.17771492360004634,0.5340107258499841,1.2452648454739899
269.0,133.81,62.14,19.63,ALPHA,THETA,False,True,True,-0.13701316175352907,0.17877905726331111,0.4196080941925117
229.0,132.4,61.12,19.33,ALPHA,THETA,False,True,True,-0.46348539272642336,0.2284938016489442,0.8966869495964835
